Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=34424, DstPort=10000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=34424, DstPort=10000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=34424, DstPort=10000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=34424, DstPort=10000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=34424, DstPort=10000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=55928, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=55928, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=55928, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=55928, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=43576, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=43576, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=43576, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=43576, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=43576, DstPort=20000, Protocol=TCP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=41601, DstPort=12345, Protocol=UDP
Packet Information: SrcIP=127.0.0.1, DstIP=127.0.0.2, SrcPort=54113, DstPort=12345, Protocol=UDP
